Design	to	image	projectLogo	id	date	collectionAddress	createdBy	media	background_color	Marketing	project	addresses	image_ipfs	yearCreated	attributes	google_image	home_url	collection_name	owner	artDesc	values	sealed	totalValue	tokenId	artist	Development	collection	transparent_image	live	fee_recipient	ipfs_image	website	youtube_url	high_quality_image	name	external_url	platform	hash	dynamic	compiler	thumbnail_url	maxTokens	private	probability	network	dropVersion	tokenHash	claimedBy	signature	seller_fee_basis_points	edition	dapp	is_dynamic	origDescription	tags	token_id	rewrites	state	nonce	transparent_animation_url	dailyYield	description	success	imageHash	image_url	ipfs	image_medium	curation_status	year	rarity	status	dna	transparent_staked_url	license	image_small	animation_url	image_large	ownedImage
		https://ipfs.io/ipfs/QmZVoeUiUooUfs2pi3J29U2ChjTvoayCuDThrBxHF8ezvy													trait_type,value									1020			0x8Af7ABB1c69BF0A8D3b49b252fff2843596504A2																																					c8e9c831c6b9238288bc4f1e1a21c05782b622ee15e5d6e43f6d947978a3b81f												https://ipfs.io/ipfs/QmTB48WBeHeZygbkUhAL5brcgjrNB3JkTqAVr6ptb21ekP		
		https://ipfs.io/ipfs/QmbabNSPoQK4ay3wvGGDpkxwn4NZUAdbgvhDZt2Xxo1RDN													trait_type,value									1044			0x8Af7ABB1c69BF0A8D3b49b252fff2843596504A2																																					bd2b2cbcb45dfdb3172dd3af716cd0e164af6c6fbd2bcde665694c35c9127f56												https://ipfs.io/ipfs/QmQ1DQuerTMfesTqxciGfX8fg4tTAeav43NyZmgEsKehXW		
		https://ipfs.io/ipfs/QmP6iNmB2fnsYSh4rcBKuVCNCAniSdf1tiaCoMEEyLHf6i													trait_type,value									1045			0x8Af7ABB1c69BF0A8D3b49b252fff2843596504A2																																					b854f3769621b48b065609f8ad3151734a4f892564590fc83ea434115afd7dc3												https://ipfs.io/ipfs/QmbQ1KFKk5EWdv6riuTL5FKDJZD2SwiHMoFmRhEi2yKhMb		
		https://wannabesmusic.club/images/token/10.jpg													trait_type,value												0x402491a577373995fF3382e6da3c282cb0564902								Wannabe #10	https://wannabesmusic.club/token/10																										Wannabe #1																
		https://wannabesmusic.club/images/token/1076.jpg													trait_type,value												0x402491a577373995fF3382e6da3c282cb0564902								Wannabe #1076	https://wannabesmusic.club/token/1076																										Wannabe #1																
		https://wannabesmusic.club/images/token/1103.jpg													trait_type,value												0x402491a577373995fF3382e6da3c282cb0564902								Wannabe #1103	https://wannabesmusic.club/token/1103																										Wannabe #1																
		https://geneticchain.io/api/project/2/token/1001/image	https://geneticchain.io/api/project/2/logo								Founders Pass									The Founders Pass provides holders with membership to the Genetic Chain Platform.  Passes will unlock access to pre-sales, free mints, future GC programs, as well as access to live events at the GC gallery.				1001	Pablo Olivera		0xF91180A67A2c607523b5e32f98732D8cDDD6538A					https://geneticchain.io			Founders Pass #1001	https://geneticchain.io/project/2/token/1001			False			2030																{}				A **[Genet														https://geneticchain.io/project/2/token/1001/anim		
		https://geneticchain.io/api/project/2/token/1001/image	https://geneticchain.io/api/project/2/logo								Founders Pass									The Founders Pass provides holders with membership to the Genetic Chain Platform.  Passes will unlock access to pre-sales, free mints, future GC programs, as well as access to live events at the GC gallery.				1001	Pablo Olivera		0xF91180A67A2c607523b5e32f98732D8cDDD6538A					https://geneticchain.io			Founders Pass #1001	https://geneticchain.io/project/2/token/1001			False			2030																{}				A **[Genet														https://geneticchain.io/project/2/token/1001/anim		
		https://geneticchain.io/api/project/2/token/1003/image	https://geneticchain.io/api/project/2/logo								Founders Pass									The Founders Pass provides holders with membership to the Genetic Chain Platform.  Passes will unlock access to pre-sales, free mints, future GC programs, as well as access to live events at the GC gallery.				1003	Pablo Olivera		0xF91180A67A2c607523b5e32f98732D8cDDD6538A					https://geneticchain.io			Founders Pass #1003	https://geneticchain.io/project/2/token/1003			False			2030																{}				A **[Genet														https://geneticchain.io/project/2/token/1003/anim		
		ipfs://Qme3Vy38eLpxdxaZMfE2quciVverwmK6vVoDDNkbs24f3U/1004.png													trait_type,value												0x2a5AEf99CFa510f8bC57b99E22D97d92483D8053								ZOMBIE #1004																											Crypto Zom																
